date,time,weight_kg,scale,body_fat_pct,muscle_mass_kg,activity_level,note
2026-08-04,07:15,85.5,inbody,31.7,55.4,L2,Initial measurement
2026-08-05,06:30,86.4,home,,,L0,Severe DOMS
